marker_ID,BE,EC,Fib,LE,Leu,SM
COPS9,0.0,0.0,0.0,0.7193746708453994,0.0,0.0
PIM3,0.0,0.0,0.0,1.0357450395074013,0.0,0.0
ID1,0.878315202813715,0.0,0.0,1.0913279294531706,0.0,0.0
FKBP2,0.0,0.0,0.0,1.182445057451455,0.0,0.0
FOXP1,0.0,0.0,0.0,0.7879095011025324,0.0,0.0
WDR83OS,0.0,0.0,0.0,1.0537487767794007,0.0,0.0
SRP9,0.0,0.0,0.0,1.0824888516959283,0.0,0.0
NANS,0.0,0.0,0.0,0.7847557162712999,0.0,0.0
TMEM230,0.0,0.0,0.0,0.8519700767219076,0.0,0.0
HDLBP,0.0,0.0,0.0,0.7816188578831944,0.0,0.0
SFT2D1,0.0,0.0,0.0,0.6988333799902424,0.0,0.0
NDUFC1,0.0,0.0,0.0,0.8006458732214083,0.0,0.0
COX14,0.0,0.0,0.0,0.6451946690567605,0.0,0.0
ANXA11,0.0,0.0,0.0,0.9302539138009148,0.0,0.0
C14orf2,0.7870972771907021,0.0,0.0,1.1743579391808407,1.097768556658378,0.0
TMED10,0.0,0.0,0.0,0.9546032456382094,0.0,0.0
NDUFB7,0.0,0.0,0.0,0.7530483702925079,0.0,0.0
AP2S1,0.0,0.0,0.0,0.5631300743242467,0.0,0.0
CD47,0.9122349579142245,0.0,0.0,0.9870973942718637,0.0,0.0
MICOS10,0.0,0.0,0.0,0.587785479719392,0.0,0.0
LAMTOR1,0.0,0.0,0.0,0.7802067479050059,0.0,0.0
CHMP2A,0.7122750872606725,0.0,0.0,1.0538322362606556,0.0,0.0
C19orf53,0.7722065795345023,1.1069487227759707,0.0,1.2464301999251257,0.0,0.0
AURKAIP1,0.0,0.0,0.0,0.8381784589449189,0.0,0.0
SMP1,0.0,1.0058978650425123,0.0,1.048134644223413,0.0,0.0
NDUFB11,0.0,0.0,0.0,1.0809300990931603,0.0,0.0
SELENOH,0.0,0.0,0.0,0.8612503544737178,0.0,0.0
STAT3,0.0,0.631667080263852,0.8334531513532983,0.866509602946595,0.0,0.0
C9orf16,1.0132527647894007,0.0,0.0,1.1501385680896141,0.682205824406723,0.0
TSPO,1.1575949615831123,0.6940539115488418,0.0,1.1891866994279023,0.0,0.0
EIF5B,0.0,0.0,0.0,0.883438840573718,0.0,0.0
ATP5MF,0.0,0.0,0.0,0.7858848107249828,0.0,0.0
MRPL51,0.0,0.0,0.0,0.7359575959655906,0.0,0.0
ERGIC3,0.0,0.0,0.0,0.8468199600935615,0.0,0.0
ELL2,0.0,0.0,0.0,0.7454992316079356,0.0,0.0
HSBP1,0.0,0.0,0.0,1.02063964596469,0.0,0.0
MRPL14,0.0,0.0,0.0,0.8700907423271386,0.0,0.0
DYNLRB1,0.0,0.0,0.0,0.9192680400180085,0.0,0.0
CUTA,0.9506488038387215,0.0,0.0,1.0480687747274682,0.0,0.0
TMEM123,0.0,0.0,0.0,0.9495132036910021,0.0,0.0
SMIM26,0.0,0.0,0.0,0.7738330131961416,0.0,0.0
KRT10,1.0093813107676846,0.0,0.0,1.1329367299141127,0.0,0.0
HEL-S-61,0.0,0.0,0.0,0.9252024922617793,0.0,0.0
DYNLT1,0.0,0.0,0.0,0.8700907423271386,0.0,0.0
ZNF183,0.0,0.0,0.0,0.9251071194701824,0.0,0.0
NDUFC2,0.0,0.0,0.0,0.7246593540835258,0.0,0.0
