marker_ID,Acinar,Ductal,EC,Endocrine,IC,Stellate
162,0.0,0.0,0.0,0.0,1.9732797651049496,0.0
79143,0.0,0.0,0.0,0.0,2.1106880135074033,0.0
7392,0.0,0.0,0.0,0.0,2.9954055499230154,0.0
3074,0.0,0.0,0.0,0.0,2.3521098874870927,0.0
526,0.0,0.0,0.0,0.0,2.433664503079543,0.0
10066,0.0,0.0,0.0,0.0,2.7581590934166518,0.0
10618,0.0,0.0,0.0,0.0,2.1106880135074033,0.0
7276,0.0,0.0,0.0,6.978765755208023,0.0,0.0
27344,0.0,0.0,0.0,6.752761255272165,0.0,0.0
1363,0.0,0.0,0.0,6.646751941734593,0.0,0.0
1113,0.0,0.0,0.0,6.418967877517544,0.0,0.0
6447,0.0,0.0,0.0,6.127504067293673,0.0,0.0
1114,0.0,0.0,0.0,5.7590030104140055,0.0,0.0
7425,0.0,0.0,0.0,5.518052276017701,0.0,0.0
7857,0.0,0.0,0.0,5.315960198592903,0.0,0.0
5798,0.0,0.0,0.0,5.076020772884207,0.0,0.0
10590,0.0,0.0,0.0,4.957760975968161,0.0,0.0
5502,0.0,0.0,0.0,4.711958173686891,0.0,0.0
5126,0.0,0.0,0.0,4.433074230392159,0.0,0.0
10400,0.0,0.0,0.0,4.990804576694464,0.0,0.0
5066,0.0,0.0,0.0,4.885116920568421,0.0,0.0
2878,0.0,0.0,0.0,4.973755040615422,0.0,2.562360496023233
2572,0.0,0.0,0.0,3.9187129464769166,0.0,0.0
7345,0.0,0.0,0.0,4.3421197092064725,0.0,0.0
22861,0.0,0.0,0.0,3.8952363516493103,0.0,0.0
5080,0.0,0.0,0.0,3.7938884351188658,0.0,0.0
55859,0.0,0.0,0.0,3.87571275043556,0.0,0.0
1917,0.0,0.0,0.0,3.9598819801979324,0.0,0.0
57535,0.0,0.0,0.0,4.012444662835353,0.0,0.0
3423,0.0,0.0,0.0,4.2790932467508,0.0,0.0
1191,2.1892844142301398,3.9645992798518037,0.0,5.8139486329985575,0.0,0.0
169026,0.0,0.0,0.0,3.332540010710748,0.0,0.0
5865,0.0,0.0,0.0,3.494181180327269,0.0,0.0
4760,0.0,0.0,0.0,3.072658121739832,0.0,0.0
7111,0.0,0.0,0.0,3.329900808194303,0.0,0.0
51310,0.0,0.0,0.0,3.219443431473111,0.0,0.0
56605,0.0,0.0,0.0,3.1423155810973165,0.0,0.0
333,0.0,0.0,0.0,3.125871899341789,0.0,0.0
254263,0.0,0.0,0.0,3.004143319500526,0.0,0.0
26470,0.0,0.0,0.0,3.666621040073583,0.0,0.0
5122,0.0,0.0,0.0,2.339022904052533,0.0,0.0
9066,0.0,0.0,0.0,2.9191897611717663,0.0,0.0
6542,0.0,0.0,0.0,3.484002315838414,0.0,0.0
6638,0.0,2.4504428354100427,0.0,4.100072638772013,0.0,0.0
6833,0.0,0.0,0.0,2.629377648320559,0.0,0.0
284361,0.0,2.6993461245139834,0.0,4.09747589183762,0.0,0.0
25849,0.0,0.0,0.0,3.2555725922409824,0.0,0.0
