marker_ID,EC,Epi_basal,Epi_stratified,Epi_suprabasal,Epi_upper,Fib,Gland,IC
ARL6IP5,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.6931471824645996,0.0
DDAH2,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.6931471824645996,0.0
VKORC1,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
ARID5B,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
CYB5R3,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
ADH5,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.0,0.0
APLP2,0.0,0.0,0.0,0.0,0.0,0.6931471824645996,0.6931471824645996,0.0
CNFN,0.0,0.0,1.0986123085021973,0.6931471824645996,5.0434250831604,0.0,0.0,0.0
CRCT1,0.0,0.0,0.6931471824645996,0.0,4.330733299255371,0.0,0.0,0.0
CRNN,0.0,0.0,1.3862943649291992,0.6931471824645996,4.304065227508545,0.0,0.0,0.0
MAL,0.0,0.0,1.0986123085021973,0.0,3.97029185295105,0.0,0.0,0.0
ECM1,0.0,0.0,0.6931471824645996,0.0,3.6888794898986816,0.0,0.0,0.0
TMPRSS11B,0.0,0.0,0.0,0.0,3.295836925506592,0.0,0.0,0.0
SPINK7,0.0,0.0,0.0,0.0,3.465735912322998,0.0,0.0,0.0
MUC21,0.0,0.0,0.6931471824645996,0.0,3.295836925506592,0.0,0.0,0.0
LYPD2,0.0,0.0,0.0,0.0,3.178053855895996,0.0,0.0,0.0
LYNX1,0.0,0.0,0.6931471824645996,0.0,3.465735912322998,0.0,0.0,0.0
CYSRT1,0.0,0.0,1.3862943649291992,0.0,3.367295742034912,0.0,0.0,0.0
SPRR2A,0.0,0.0,1.3862943649291992,0.6931471824645996,3.5553481578826904,0.0,0.0,0.0
TGM3,0.0,0.0,0.0,0.0,2.8332133293151855,0.0,0.0,0.0
SLURP1,0.0,0.0,0.6931471824645996,0.0,3.178053855895996,0.0,0.0,0.0
IL1RN,0.0,0.0,2.079441547393799,0.6931471824645996,3.332204580307007,0.0,0.0,0.0
PRSS27,0.0,0.0,0.0,0.0,2.4849066734313965,0.0,0.0,0.0
SPRR1B,0.0,0.0,1.7917594909667969,0.6931471824645996,3.367295742034912,0.0,0.0,0.0
