marker_ID,Endo,Epi,Gran,Lym,Macro,Mono,Stromal
BLOC1S2,0.0,0.0,0.0,0.0,1.0362483601132684,0.0,0.0
NAPSB,0.0,0.0,0.0,0.0,0.8307577662344378,0.0,0.0
CREG1,0.0,0.0,0.0,0.0,1.0083919797306067,0.0,0.0
GPCPD1,0.0,0.0,0.0,0.0,0.8457010536606844,0.0,0.0
SMCO4,0.0,0.0,0.0,0.0,0.8726898112069535,0.0,0.0
RTN3,0.0,0.0,0.0,0.0,1.1733766214983015,0.0,0.0
ARL6IP1,0.0,0.0,0.0,0.0,1.3135047728456029,0.0,0.0
GPD1,0.0,0.0,0.0,0.0,0.7024502806477148,0.0,0.0
CD83,0.0,0.0,0.0,0.0,0.9027382418654814,0.0,0.0
GLA,0.0,0.0,0.0,0.0,0.8167023894552794,0.0,0.0
NCF4,0.0,0.0,0.0,0.0,0.7846693125923175,0.0,0.0
TFRC,0.0,0.0,0.0,0.0,0.6758570871073947,0.0,0.0
INHBA,0.0,0.0,0.0,0.0,0.5473820236486742,0.0,0.0
TRPV2,0.0,0.0,0.0,0.0,0.83706836163219,0.0,0.0
BCL2A1,0.0,0.0,0.0,0.0,0.7799690225865762,0.0,0.0
TREM2,0.0,0.0,0.0,0.0,0.5652447268076234,0.0,0.0
HLA-DQB2,0.0,0.0,0.0,0.0,0.7291633701846525,0.0,0.0
EIF4EBP1,0.0,0.0,0.0,0.0,0.8065341798330491,0.0,0.0
MFSD1,0.0,0.0,0.0,0.0,0.8558454145934212,0.0,0.0
CD58,0.0,0.0,0.0,0.0,0.9157211106568524,0.0,0.0
LAIR1,0.0,0.0,0.0,0.0,0.7661442045492567,0.0,0.0
AVPI1,0.0,0.0,0.0,0.0,0.7986747700423782,0.0,0.0
SPG21,0.0,0.0,0.0,0.0,0.9707172143128965,0.0,0.0
LPXN,0.0,0.0,0.0,0.0,0.7782985792806951,0.0,0.0
MCOLN1,0.0,0.0,0.0,0.0,0.7096985050809027,0.0,0.0
LOC101929371,0.0,0.0,0.0,0.0,0.5909447661132244,0.0,0.0
KYNU,0.0,0.0,0.0,0.0,0.641688140969747,0.0,0.0
SEPT11,0.0,0.0,0.0,0.0,0.8318554613640018,0.0,0.0
SCCPDH,0.0,0.0,0.0,0.0,0.8070608840989734,0.0,0.0
GLB1,0.0,0.0,0.0,0.0,0.7753380136507412,0.0,0.0
ABHD5,0.0,0.0,0.0,0.0,0.7333651946360011,0.0,0.0
FDX1,0.0,0.0,0.0,0.0,0.9697674778809019,0.0,0.0
DEFB1,0.0,0.0,0.0,0.0,0.4327221250866265,0.0,0.0
TWF2,0.0,0.0,0.0,0.0,0.9016353946041261,0.0,0.0
HMOX1,0.0,0.0,0.0,0.0,0.6668273441139811,0.0,0.0
ANPEP,0.0,0.0,0.0,0.0,0.5816140500437742,0.0,0.0
TGOLN2,0.0,0.0,0.0,0.0,0.9125198897946442,0.0,0.0
FERMT3,0.0,0.0,0.0,0.0,0.7944835948413411,0.0,0.0
